Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-30 17:30:00+01:00,238.6699981689453,238.97999572753906,237.5,237.77000427246094,4500643,72.49500274658203,73.16500091552734,72.49500274658203,73.08999633789062,5702161,531.4749755859375,533.25,529.77001953125,532.77001953125,3168629,332.0899963378906,332.8500061035156,331.4049987792969,332.0899963378906,4068798,334.3800048828125,334.9100036621094,332.57000732421875,332.69000244140625,1074535
2026-07-30 18:30:00+01:00,237.75,238.125,236.91000366210938,237.4080047607422,4815422,73.08999633789062,73.19000244140625,72.81999969482422,72.94499969482422,4285730,532.6950073242188,534.9400024414062,531.52001953125,532.9600219726562,2561464,332.0799865722656,333.9800109863281,331.7200927734375,333.1000061035156,3594892,332.66119384765625,334.7200012207031,332.0899963378906,332.1000061035156,1365983
2026-07-30 19:30:00+01:00,237.42999267578125,239.82359313964844,237.0399932861328,239.52000427246094,8409950,72.94999694824219,73.02999877929688,72.72000122070312,72.87000274658203,4054228,532.969970703125,535.9600219726562,532.0,534.5399780273438,2992702,333.1199951171875,334.0899963378906,332.8999938964844,333.1600036621094,4768291,332.1099853515625,334.80999755859375,332.0899963378906,334.1449890136719,1251375
2026-07-30 20:30:00+01:00,239.5399932861328,239.77000427246094,234.7801055908203,236.02999877929688,12546815,72.875,73.31999969482422,72.76499938964844,73.1500015258789,7690773,534.5399780273438,539.8800048828125,533.2100219726562,539.0599975585938,4456265,333.1600036621094,334.75,332.30999755859375,333.8500061035156,6035501,334.1449890136719,334.5400085449219,333.2900085449219,333.6499938964844,1703673
2026-07-31 14:30:00+01:00,264.9849853515625,270.94000244140625,262.1499938964844,269.6300048828125,49279882,71.96499633789062,72.75,71.18000030517578,71.3550033569336,6864663,543.5599975585938,557.9600219726562,542.760009765625,547.22998046875,7362804,304.80999755859375,306.8999938964844,300.3299865722656,302.739990234375,42271625,340.07501220703125,347.6300048828125,339.1700134277344,347.125,6132469
2026-07-31 15:30:00+01:00,269.6000061035156,272.0400085449219,267.364990234375,267.3999938964844,17016236,71.3550033569336,71.81999969482422,71.1050033569336,71.6449966430664,4452453,547.3795166015625,553.0700073242188,540.760009765625,540.8800048828125,3279199,302.7550048828125,304.25,301.6400146484375,301.7300109863281,10897816,347.1099853515625,353.17999267578125,346.4100036621094,348.4599914550781,4203278
2026-07-31 16:30:00+01:00,267.4049987792969,271.5299987792969,266.32000732421875,270.7900085449219,13082516,71.6500015258789,71.7750015258789,71.45500183105469,71.64600372314453,2848306,540.780029296875,549.5700073242188,540.239990234375,549.22998046875,1790502,301.7300109863281,302.82000732421875,300.3999938964844,300.5400085449219,9857216,348.44000244140625,354.3399963378906,347.9700012207031,354.2099914550781,2272784
2026-07-31 17:30:00+01:00,270.79998779296875,271.54998779296875,269.67999267578125,271.30999755859375,7609537,71.63999938964844,71.63999938964844,71.3499984741211,71.54499816894531,2531068,549.2999877929688,552.0999755859375,546.4008178710938,549.3250122070312,1858243,300.55999755859375,301.83428955078125,300.0,301.20001220703125,7813750,354.2300109863281,354.6099853515625,352.62799072265625,354.3800048828125,2471662
2026-07-31 18:30:00+01:00,271.3299865722656,271.75,270.20001220703125,270.7799987792969,6333731,71.54019927978516,71.83000183105469,71.41999816894531,71.66000366210938,2840274,549.3350219726562,551.6400146484375,547.5,550.0775146484375,1772205,301.20001220703125,302.4200134277344,300.5,301.7300109863281,9575659,354.3599853515625,356.2699890136719,353.32000732421875,356.04998779296875,3944194
2026-07-31 19:30:00+01:00,270.7784118652344,272.3599853515625,270.510009765625,271.8219909667969,9944689,71.6500015258789,71.77999877929688,71.19999694824219,71.6050033569336,3297446,550.135009765625,553.739990234375,549.1799926757812,552.5599975585938,2577461,301.760009765625,305.7099914550781,301.7449951171875,305.6549987792969,11851963,356.0249938964844,356.3399963378906,354.739990234375,355.8349914550781,2518737
2026-07-31 20:30:00+01:00,271.8299865722656,273.2300109863281,271.0400085449219,271.6099853515625,12190809,71.6050033569336,71.80979919433594,71.50499725341797,71.69999694824219,4897260,552.5399780273438,558.3300170898438,551.0100708007812,556.5,3064620,305.6600036621094,310.6600036621094,305.0199890136719,309.0299987792969,20642958,355.8399963378906,358.8800048828125,355.5400085449219,356.7099914550781,4354772
